n_entradas,grasp_pr,t_grasp_pr,grasp,t_grasp
100,9147.000000,0.000000,8940.000000, 15.625000
100,9147.000000,15.625000,8940.000000, 0.000000
100,9147.000000,15.625000,8940.000000, 0.000000
100,9147.000000,15.625000,8940.000000, 0.000000
100,9147.000000,15.625000,8940.000000, 0.000000
200,11238.000000,31.250000,11227.000000, 15.625000
200,11238.000000,31.250000,11227.000000, 15.625000
200,11238.000000,31.250000,11238.000000, 31.250000
200,11238.000000,31.250000,11238.000000, 31.250000
200,11238.000000,31.250000,11238.000000, 31.250000
500,28834.000000,140.625000,28834.000000, 171.875000
500,28834.000000,171.875000,28834.000000, 140.625000
500,28834.000000,171.875000,28765.000000, 109.375000
500,28834.000000,140.625000,28765.000000, 109.375000
500,28834.000000,140.625000,28765.000000, 93.750000
1000,54252.000000,437.500000,53809.000000, 390.625000
1000,54252.000000,437.500000,53809.000000, 421.875000
1000,54047.000000,468.750000,54224.000000, 390.625000
1000,53858.000000,453.125000,54270.000000, 406.250000
1000,54152.000000,468.750000,54080.000000, 359.375000
2000,108700.000000,1640.625000,110302.000000, 1390.625000
2000,109224.000000,1734.375000,110268.000000, 1484.375000
2000,109920.000000,1765.625000,109653.000000, 1515.625000
2000,109855.000000,1671.875000,110146.000000, 1437.500000
2000,109725.000000,1687.500000,109783.000000, 1328.125000
5000,274898.000000,10890.625000,274527.000000, 9515.625000
5000,274686.000000,10671.875000,275365.000000, 9265.625000
5000,274116.000000,10453.125000,274756.000000, 9531.250000
5000,274287.000000,9593.750000,275541.000000, 9359.375000
5000,273889.000000,10437.500000,274592.000000, 9265.625000
10000,559523.000000,43296.875000,558797.000000, 38812.500000
10000,560798.000000,46062.500000,562064.000000, 45046.875000
10000,561157.000000,43484.375000,558945.000000, 39781.250000
10000,562725.000000,40484.375000,560623.000000, 38984.375000
10000,559294.000000,42046.875000,562585.000000, 38765.625000
