n_entradas, grasp_pr, t_grasp_pr, grasp, t_grasp
100,8781.000000,15.625000,9147.000000, 0.000000
100,8781.000000,0.000000,9147.000000, 15.625000
100,8781.000000,15.625000,9147.000000, 0.000000
100,8781.000000,15.625000,9147.000000, 15.625000
100,8781.000000,15.625000,9147.000000, 15.625000
200,11238.000000,15.625000,11238.000000, 31.250000
200,11238.000000,31.250000,11238.000000, 15.625000
200,11238.000000,31.250000,11238.000000, 15.625000
200,11238.000000,31.250000,11238.000000, 0.000000
200,11238.000000,31.250000,11238.000000, 31.250000
500,28834.000000,156.250000,28713.000000, 125.000000
500,28794.000000,125.000000,28650.000000, 109.375000
500,28794.000000,140.625000,28650.000000, 93.750000
500,28794.000000,140.625000,28650.000000, 78.125000
500,28619.000000,140.625000,28713.000000, 93.750000
1000,53555.000000,484.375000,54072.000000, 359.375000
1000,54341.000000,453.125000,54336.000000, 406.250000
1000,54246.000000,453.125000,54285.000000, 375.000000
1000,54302.000000,500.000000,53851.000000, 375.000000
1000,53803.000000,468.750000,54278.000000, 390.625000
2000,110128.000000,1828.125000,109659.000000, 1531.250000
2000,109466.000000,1796.875000,109574.000000, 1500.000000
2000,109985.000000,1718.750000,110018.000000, 1515.625000
2000,110527.000000,1750.000000,108379.000000, 1625.000000
2000,109547.000000,1734.375000,109073.000000, 1828.125000
5000,275987.000000,11093.750000,275049.000000, 9640.625000
5000,274771.000000,10828.125000,272526.000000, 10468.750000
5000,274638.000000,11296.875000,273567.000000, 10171.875000
5000,275020.000000,10921.875000,275394.000000, 10015.625000
5000,274874.000000,10750.000000,274661.000000, 9421.875000
10000,561802.000000,42281.250000,557318.000000, 39031.250000
